record_id,category,item,engineering_meaning,verification_status,source_url
"R015","workflow","4. Расчёт себестоимости","Получить производственную экономику по деталям, операциям, комплектующим и объёму","source","https://pavel-samuta.livejournal.com/33322.html"
"R016","workflow","5. Прототипирование","Физически проверить документацию и конструкцию до серии","source","https://pavel-samuta.livejournal.com/33322.html"
"R017","workflow","6. Минимальный продукт","Сформировать минимально достаточную продаваемую версию","source","https://pavel-samuta.livejournal.com/33322.html"
"R018","workflow","7. Производство оснастки","Подготовить специальную оснастку, если она нужна выбранной технологии","source","https://pavel-samuta.livejournal.com/33322.html"
"R019","workflow","8. Тестовая партия","Проверить повторяемость решения на малой серии","source","https://pavel-samuta.livejournal.com/33322.html"
"R020","workflow","9. Серийное производство","Перейти к повторяемому изготовлению после проверок","source","https://pavel-samuta.livejournal.com/33322.html"
"R021","input","Живой образец","Физический образец даёт исходную геометрию и возможность исследовать конструкцию","source","https://pavel-samuta.livejournal.com/33322.html"
"R022","input","Фотографии","Собрать фотографии образца, но не использовать их как единственную основу для точной оценки производства","source","https://pavel-samuta.livejournal.com/33322.html"
"R023","input","Чертежи и даташиты","Собрать существующую техническую информацию в единый архив","source","https://pavel-samuta.livejournal.com/33322.html"
"R024","input","Данные конкурентов","Собрать доступные сведения об аналогах и исходном производителе","source","https://pavel-samuta.livejournal.com/33322.html"
"R025","business_input","Годовой объём","До запроса производителю определить ожидаемую потребность или хотя бы сценарии тиража","source","https://pavel-samuta.livejournal.com/33322.html"
"R026","business_input","Предельная цена","Задать максимальную допустимую себестоимость или цену продукта для своей экономики","source","https://pavel-samuta.livejournal.com/33322.html"
"R027","rfq","Не просить оценку по фотографии","Для сложного изделия фотография не даёт фабрике данных для расчёта технологии и стоимости","source","https://pavel-samuta.livejournal.com/33322.html"
"R028","rfq","Говорить техническим языком","Передавать описание, спецификацию, материалы, характеристики, КД и при возможности образец","source","https://pavel-samuta.livejournal.com/33322.html"
"R029","rfq","Задать конкретный тираж","Разные объёмы требуют разных технологий; пример источника - тестовая партия 100 шт., затем 1000","source","https://pavel-samuta.livejournal.com/33322.html"
"R030","rfq","Критические свойства","Заранее указывать температуру, взрывозащиту, покрытия, упаковку, тестирование и другие обязательные требования","source","https://pavel-samuta.livejournal.com/33322.html"
"R031","economics","CAPEX отдельно","Отделять затраты на оснастку и запуск от переменной стоимости производства","source","https://pavel-samuta.livejournal.com/33322.html"
"R032","economics","Себестоимость на складе","Считать не только изготовление, но итоговую стоимость готового упакованного продукта в целевой точке","source","https://pavel-samuta.livejournal.com/33322.html"
"R033","economics","Проверка рентабельности","Сопоставить производственную себестоимость с продажной ценой до масштабирования","source","https://pavel-samuta.livejournal.com/33322.html"
"R034","drawing_role","Однозначность требований","Чертёж передаёт размеры, допуски, материалы, отделку и другие требования, которых недостаточно в одной 3D-модели","source","https://pavel-samuta.livejournal.com/33322.html"
"R035","drawing_role","Проверка изготовления","Чертёж может использоваться как контрольная база при приёмке изготовленной детали","source","https://pavel-samuta.livejournal.com/33322.html"
"R036","drawing_role","Снижение зависимости от фабрики","Собственная КД позволяет передать изготовление другому производителю","source","https://pavel-samuta.livejournal.com/33322.html"
"R037","drawing_role","Основа расчёта","Полная КД позволяет производителю точнее оценить технологию и стоимость","source","https://pavel-samuta.livejournal.com/33322.html"
"R038","prototype","Первая физическая проверка","Прототип выявляет недостатки, которые могли не проявиться в расчётах и цифровой модели","source","https://pavel-samuta.livejournal.com/33322.html"
"R039","prototype","Эргономика","Физический образец позволяет проверить взаимодействие пользователя с изделием","source","https://pavel-samuta.livejournal.com/33322.html"
"R040","prototype","Традиционный прототип","Может быть изготовлен механической обработкой и сборкой как единичное изделие","source","https://pavel-samuta.livejournal.com/33322.html"
"R041","prototype","Быстрое прототипирование","3D-печать может использоваться для макета или проверки части решений","source","https://pavel-samuta.livejournal.com/33322.html"
"R042","control","Тестовая партия перед серией","Малая серия нужна для проверки повторяемости производства, а не только единичного прототипа","inference_from_workflow","https://pavel-samuta.livejournal.com/33322.html"
"R043","benefit","Снижение зависимости от импорта","Локализация даёт больше контроля над производством, логистикой, запасными частями и сервисом","source","https://pavel-samuta.livejournal.com/33322.html"
"R044","benefit","Скорость изменений","Локальное производство сокращает путь между изменением конструкции и внедрением","source","https://pavel-samuta.livejournal.com/33322.html"
"R045","benefit","Контроль качества","При локализованном продукте заказчик получает больше возможностей влиять на производственный контроль","source","https://pavel-samuta.livejournal.com/33322.html"
"R046","risk","Интеллектуальная собственность","Перед воспроизведением защищённого решения требуется проверка прав, патентов и территории действия; Dataset не является юридической консультацией","editorial_safety","https://pavel-samuta.livejournal.com/33322.html"
"R047","decision","Go / no-go после первичной оценки","Продолжать проект имеет смысл после проверки технической реализуемости и порядка экономики","inference_from_source","https://pavel-samuta.livejournal.com/33322.html"
"R048","decision","КД до конкурентного RFQ","Для сравнимых предложений нескольких производств им нужно передать единый набор технических требований","inference_from_source","https://pavel-samuta.livejournal.com/33322.html"
