dataset_name_ru,dataset_name_en,record_id,category,item,engineering_meaning,examples,verification_status,source_url
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F017","machining","Чистовая обработка","Точность 8-11 квалитетов; Ra 12,5...2,5 мкм","IT8-IT11; Ra 12.5...2.5 μm","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F018","machining","Тонкая обработка","Точность 5-7 квалитетов; для стали Ra 2,5...0,63 мкм","IT5-IT7; Ra 2.5...0.63 μm","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F019","machining","Отделочная обработка","В исходной статье приведён ориентир Ra 0,63...0,16 мкм","Ra 0.63...0.16 μm","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F020","quality_grade","Квалитеты 4-5","Особо точные соединения с высокой однородностью зазора или натяга","IT4-IT5","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F021","quality_grade","Квалитеты 6-7","Ответственные соединения с высокими требованиями к зазору, натягу, плавности, герметичности и сборке","IT6-IT7","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F022","quality_grade","Квалитеты 8-9","Средняя точность сборки и меньшие требования к однородности зазоров или натягов","IT8-IT9","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F023","quality_grade","Квалитет 10","Посадки с зазором, когда допустимо большее колебание зазора","IT10","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F024","quality_grade","Квалитеты 11-12","Большие зазоры и грубая сборка в неответственных соединениях","IT11-IT12","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F025","clearance_fit","Посадка с зазором","Всегда образуется зазор: минимальный размер отверстия не меньше максимального размера вала","","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F026","clearance_fit","Посадка скольжения","Нулевой гарантированный зазор для установочных или регулировочных перемещений","H11/h11; H8/h7; H7/h6","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F027","clearance_fit","Посадка движения","Точное вращение при небольшой скорости","H/g; G/h","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F028","clearance_fit","Опора скольжения средней скорости","Несколько больший гарантированный зазор","H7/f7; H8/f8","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F029","clearance_fit","Ходовая посадка","Свободное перемещение при сравнительно невысокой точности и более высокой скорости","H7/e8; H8/e8","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F030","clearance_fit","Легкоразъёмное неподвижное соединение","Примеры более грубых посадок для крышки-корпуса","E9/h8; H8/d9; H9/d9; H11/d11","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F031","interference_fit","Посадка с натягом","Всегда образуется натяг; используется для передачи момента/осевой силы или неразъёмного соединения","","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F032","interference_fit","Легкопрессовая","Минимальный гарантированный натяг","H7/p6; H7/r6; P7/h6","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F033","interference_fit","Среднепрессовая","В статье: относительный натяг до 0,5 мкм/мм; передача момента до 1/2 предельного","H7/s6; H7/s7; S7/h6","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F034","interference_fit","Тяжёлая прессовая","В статье: относительный натяг до 1 мкм/мм; при достаточной площади соединение равнопрочно валу","H7/t6; H7/u7; T7/h6","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F035","interference_fit","Усиленная прессовая","В статье: относительный натяг более 1 мкм/мм","H8/x8; H8/z8","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F036","transition_fit","Переходная посадка","Возможно получение как зазора, так и натяга в зависимости от действительных размеров","","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F037","transition_fit","Плотная переходная","Преимущественный зазор, высокая точность центрирования","H7/js6; H8/js7; Js7/h6","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F038","transition_fit","Напряжённая переходная","Примерно равная вероятность зазора и натяга; высокая точность центрирования","H7/k6; H8/k7; K7/h6","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F039","transition_fit","Глухая переходная","Преимущественный натяг; сборка может требовать нагрева, охлаждения или пресса","H7/n6; N6/h5; N7/h6","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F040","drawing_notation","Буквенно-цифровая запись посадки","Обозначение номинального размера и полей допусков","20 H7/g6","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F041","drawing_notation","Симметричное поле допуска","Абсолютная величина отклонения указывается один раз со знаком ±","60±0.23","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F042","economics","Избыточная точность","Исходная статья предупреждает: чрезмерно высокая точность обработки приводит к неоправданным затратам","","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
"Выбор посадок гладких цилиндрических поверхностей","Cylindrical Fits Selection","F043","economics","Стоимость жёстких допусков","Более жёсткие допуски обычно требуют более дорогого изготовления; конкретная экономика зависит от процесса и предприятия","","source_article","https://dzen.ru/a/YC5Ktv-i2GrkVltW"
