dataset_name_ru,dataset_name_en,record_id,category,factor,description,example_or_value,reference_period,source_url
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-023","data_exchange","Формат обмена","Нейтральные и обменные форматы снижают риск несовместимости","STEP AP203/AP214; IGES; STL; VRML; DWG; DXF","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-024","standards","Стандарт оформления","Национальный или международный стандарт документации влияет на требования к результату","ISO; ASME; BS; DIN; JIS; TIS; AS; ГОСТ/ЕСКД; GB","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-025","language","Язык документации","Перевод КД на другой язык может потребоваться для международной передачи работ","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-026","risk","Ответственность за производственный результат","Ошибки в КД могут приводить к дорогим производственным последствиям; риск должен учитываться при выборе исполнителя","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-027","location","Регион и затраты исполнителя","В статье регион и связанные расходы названы одним из факторов ставки","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-028","input","Полнота технического задания","Чем полнее исходные данные и ТЗ, тем меньше неопределенность и риск оплачивать переделки","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-029","delivery","Дополнительные форматы выдачи","Сохранение результата в нескольких форматах повышает совместимость и может входить в объем услуги","","","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-030","historical_price","Почасовая ставка","В статье 2020 года приведен ориентир для внештатных CAD-инженеров в разных регионах","10-50 USD/ч","2020","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-031","historical_price","Ассоциативный чертеж по 3D-модели","Историческая рекомендованная цена из статьи","от 35 USD","2020","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-032","historical_price","Комплект документов","Историческая рекомендованная цена из статьи","от 450 USD","2020","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-033","historical_price","Сборочный чертеж рабочего колеса","Историческая рекомендованная цена комплекта КД","от 400 USD","2020","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-034","historical_price","Чертеж детали Гильза","Историческая рекомендованная цена","от 50 USD","2020","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-035","historical_price","Чертеж детали Кожух выключателя","Историческая рекомендованная цена","от 35 USD","2020","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-036","historical_price","Чертеж детали Патрубок","Историческая рекомендованная цена","от 80 USD","2020","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-037","historical_price","Чертеж Корпус","Историческая рекомендованная цена","от 350 USD","2020","https://dzen.ru/a/XmDqUh3RL15c7fLm"
"Факторы стоимости чертежа и 3D-модели","CAD Drawing and 3D Model Pricing Factors","CAD-038","historical_price","Примеры A4 разной плотности","Исторические рекомендованные цены для примеров разной сложности","от 10 / 17 / 25 USD","2020","https://dzen.ru/a/XmDqUh3RL15c7fLm"
