dataset_name_ru,dataset_name_en,record_id,category,element,definition_or_function,example_or_designation,source_standard,verification_status,source_url
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-011,shaft,Буртик,"Упорный уступ на валу или оси для упора детали или ограничения осевого перемещения",,,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-012,shaft,Заплечик,"Переходная поверхность от меньшего диаметра вала к большему для упора колец подшипников",,,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-013,shaft,Поднутрение,"Углубление малой протяжённости на торцевой поверхности заплечика вдоль оси вала",,,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-014,edge,Фаска,"Срезанная под углом кромка детали","4×45°","ГОСТ 10948-64",verify_current,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-015,transition,Галтель,"Скругление, применяемое для снижения концентрации напряжений",,,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-016,transition,Скругление,"Плавный переход одной поверхности к другой по заданному радиусу",,,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-017,transition,Сопряжение,"Плавный переход одной линии или поверхности в другую",,,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-018,surface,Рифление,"Поверхностные бороздки для предотвращения проскальзывания","Рифление сетчатое 1.0","ГОСТ 21474-75",verify_current,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-019,casting,Бобышка,"Короткий выступ или прилив, часто для локальной обработки опорной поверхности",,,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-020,machining,Центровое отверстие,"Отверстие для установки детали в центрах станка или приспособления","Отв. центр. А2","ГОСТ 14034-74",verify_current,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-021,strength,Ребро жёсткости,"Стенка или элемент для повышения жёсткости и прочности конструкции",,,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-022,casting,Уклон,"Тангенс угла наклона между плоскостями, выраженный дробью или процентами","1:5; 20%","ГОСТ 8908-81",verify_current,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-023,mechanism,Клин,"Призматический элемент со сходящимися под острым углом рабочими поверхностями",,,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-024,mechanism,Эксцентрик,"Диск или вал со смещённой осью вращения; применяется в зажимных механизмах",,,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-025,taper,Конусность,"Отношение, характеризующее конический элемент","1:3; 1:5","ГОСТ 8593-81",verify_current,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-026,taper,Инструментальный конус,"Стандартизированный конический элемент инструмента","Морзе В18 АТ6","ГОСТ 9953-82",verify_current,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-027,groove,Канавка,"Протяжённое углубление для выхода инструмента, разделения поверхностей, смазки, уплотнений или сборки",,,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-028,groove,Проточка,"Кольцевая канавка на внешней цилиндрической или конической поверхности",,,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-029,groove,Паз,"Канавка с прямолинейной траекторией","Паз Т-образный 18H8","ГОСТ 1574-91",verify_current,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-030,groove,Прорезь,"Узкая канавка, прорезающая стенку детали насквозь",,,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-031,torque,Шпоночный паз,"Элемент шпоночного соединения для передачи крутящего момента","10 JS9",,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-032,torque,Шлицевое соединение,"Соединение для передачи крутящего момента с возможным осевым перемещением","8×36×42×7","ГОСТ 1139-80",verify_current,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-033,torque,Эвольвентные шлицы,"Шлицевое соединение с эвольвентным профилем","40×f7×2×9g","ГОСТ 6033-80",verify_current,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-034,marking,Риска,"Узкое углубление или линия для разметки, шкалы или ориентира",,,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-035,fastener,Шлиц,"Прорезь на головке винта или гайке для передачи момента инструментом",,,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-036,sheet_metal,Буртик листовой детали,"Элемент листового тела, получаемый формованием или штамповкой",,,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-037,sheet_metal,Жалюзи,"Формованный элемент листовой детали",,,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
"Конструктивные и технологические элементы деталей","Design and Manufacturing Elements of Machine Parts",EL-038,sheet_metal,Косынка,"Ребро усиления на сгибе листовой детали",,,source_statement,https://pavelsamuta.com/articles/konstruktivnye-i-tehnologicheskie-jelementy-detalej-na-chertezhe
